t_mes,euler,rk2,rk4,exacta
0.0,120.0,120.0,120.0,119.99999999999999
0.25,126.31836734693877,126.46027561441237,126.46283118082502,126.4628315321822
0.5,132.9205512288247,133.21452984100665,133.21981247882798,133.21981319961364
0.75,139.81407779608637,140.27030781635827,140.27848813038926,140.27848923785783
1.0,147.00610758528194,147.63471042856736,147.64595684423043,147.6459583546397
1.25,154.50336410157996,155.31431472358372,155.32879212324482,155.32879405167495
1.5,162.31205842612138,163.31509055433327,163.33295884144638,163.33296120161984
1.75,170.43781023920758,171.64231404692435,171.663726653288,171.6637294573939
2.0,178.88556576218434,180.30047859045177,180.32558094484503,180.32558420337057
2.25,187.65951324027927,189.29320419419366,189.32213217354155,189.32213589511414
2.5,196.76299671370143,198.62314619538645,198.65602458227582,198.6560287735189
2.75,206.1984289527017,208.2919044387136,208.32884541141655,208.32885007682285
3.0,215.9672045611355,218.29993418100912,218.3410358640367,218.34104100586168
3.25,226.06961437892906,228.6464600967627,228.69180520123444,228.691810819413
3.5,236.50476243276046,239.3293948666817,239.37904945032577,239.37905554241485
3.75,247.27048679178466,250.34526391736446,250.39927629364416,250.39928285479397
4.0,258.363285776542,261.6891379394915,261.7475377640918,261.7475447870465
4.25,269.7782510392212,273.35457483936494,273.41737240000367,273.41737987513324
4.5,281.5090090770572,285.3335727689943,285.4007585012215,285.40076641658584
4.75,293.54767275281046,297.61653582876,297.6880800760984,297.6880884175425
5.0,305.884804372351,310.1922539404571,310.2681069719867,310.2681157232672
5.25,318.50939180535056,323.04789824495515,323.1279905373838,323.12799968032493
5.5,331.40883902786254,336.1690331870724,336.2532759716429,336.25328548631956
5.75,344.5689723132611,349.5396462115958,349.62793227908674,349.62794214403243
6.0,357.97406310015776,363.14219571168593,363.23440046154116,363.2344106539773
6.25,371.6068683237732,376.9576775492312,377.0536602618018,377.0536707578851
6.5,385.4486887138893,390.9657101131466,391.06531541746386,391.0653261925458
6.75,399.47944524297225,405.1446375051339,405.2476970088637,405.2477080377602
7.0,413.67777355928735,419.4716500536824,419.5779840972268,419.57799535449146
7.25,428.0211358705812,433.9229209680223,434.03234046138107,434.0323519215769
7.5,442.4859493645339,448.47375756709835,448.5860658662609,448.5860775042267
7.75,457.04772987426105,463.0987651674046,463.21375994682813,463.2137717379346
8.0,471.68124913305047,477.7720214003603,477.88949647952217,477.8895083999115
8.25,486.3607036248877,492.4672584664619,492.58700555149625,492.58701757830175
8.5,501.0598927384731,507.15805062978626,507.2798609356699,507.27987304721245
8.75,515.7524036837351,521.8180041204677,521.9416698448889,521.941682020845
9.0,530.4118004411541,536.420946549903,536.5462621765296,536.5462743980688
9.25,545.0118138933034,550.9411129561455,551.0678763721733,551.0678886220632
9.5,559.5265302401708,565.3533256847327,565.481339104981,565.4813513676578
9.75,573.9305748274828,579.6331654695684,579.7622361666338,579.7622484282373
10.0,588.1992886198784,593.7571313031864,593.8870721499354,593.8870843983095
10.25,602.3088947248508,607.7027869670568,607.833416803738,607.8334290283976
10.5,616.2366526125456,621.4488924199075,621.5800362631543,621.5800484552201
10.75,629.9609979719648,634.9755186032487,635.1070077180708,635.1070198701758
11.0,643.4616664850276,648.264144605595,648.3958164640212,648.3958285701915
11.25,656.719800173985,661.2977365172692,661.4294346686002,661.4294467241143
11.5,669.7180353717368,674.0608076936298,674.192381571341,674.1923935725729
11.75,682.4405717653362,686.539460514518,686.6707652038407,686.6707771480909
12.0,694.8732223574973,698.721410071553,698.8523060598144,698.8523179451344
